company,proposal_name,current_state,problems,impact,target_persona,existing_tooling,functionality,problem_solving,risk_assessment,business_use_case,architecture_pattern,reasoning_pattern,execution_pattern,knowledge_representation,input_modalities,tool_integration,human_oversight,architecture_confidence,data_complexity,integration_complexity,prompt_complexity,chain_depth,schema_complexity,state_management,error_handling,evaluation_complexity,domain_expertise,latency_requirements,regulatory_requirements,rerepresentation_type
abbvie,GLOBAL PHARMACOVIGILANCE CASE-FLOW AUTOPILOT (“PV-GPT”),"AbbVie receives 7.2 million Individual Case Safety Reports (ICSRs) annually from 100 + markets (HCP calls, patient portals, partners, literature, social media). Eight sequential manual steps—triage, duplicate check, data entry, MedDRA coding, seriousness/causality assessment, narrative authoring, QA, E2B(R3) gateway submission—require ~3 000 FTEs and multiple BPO vendors. Cycle time averages 4–10 days; cost ≈ $110 per case.","• High labor spend (> $350 M/yr).  
• Surge back-logs jeopardise 7-/15-day regulatory clocks (FDA, EMA, PMDA).  
• Inconsistent MedDRA term selection and narrative quality.","Automating 80 % of cases would free ≈ $265 M/yr, slash average clock to < 24 h, and virtually eliminate late-submission penalties (up to $2 M per incident).","Drug-Safety Associate, Pharmacovigilance Physician, PV Compliance Director.","Oracle Argus Safety, Amazon Transcribe (pilot), manual MedDRA browser, Lorenz e-Gateway.","A single pipeline that: (1) ingests multi-modal case reports; (2) extracts entities and auto-populates Argus fields; (3) performs auto-coding to MedDRA LLT/PT and WHO-DD; (4) applies AbbVie SOP rules to derive seriousness, expectedness, and causality; (5) drafts regulator-ready narrative in 26 languages; (6) triggers E2B submission; (7) escalates edge cases.","Automates manual steps to reduce labor, speed cycle time, improve MedDRA term consistency, and ensure regulatory compliance.",False negatives on seriousness or suspect drug could cause compliance violations. Mitigations: dual-human release on all SAEs for first 12 months; performance guardrails (> 97 % MedDRA concordance); continuous warm audit.,Safety & Incident Reporting,Sequential Pipeline,Planning/Decomposition,Sequential Chain,"Structured Database, Policy Rules","Text + Images, Text + Audio, Structured Data",Multi-System Integration,Human Escalation,high,"Multimodal, Complex",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (8+ steps),Deep Structured (4+ levels),Complex State Machine,Mission Critical,Human Evaluation Required (Complex),Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Process + Data Model (Combined)"
abbvie,PRIOR-AUTH & APPEAL AUTOWRITER (“PA-GPT”),"U.S. immunology & neuroscience brands generate ≈ 1.3 million prior-authorization denials and subsequent appeals annually. Nurse case-managers spend ~45 minutes per appeal letter, consulting payer PDFs, policy bulletins, and patient EMR extracts (HIPAA-compliant AbbVie Care platform). Approval reasoning must cite specific payer criteria, ICD-10, clinical guidelines, and safety data.","• 39 000 labor-hours/month.  
• Inconsistent clinical rationale reduces overturn rates.  
• Delay leads to 12 % drop-off in prescription starts.",90 % automation saves 700 FTE-equivalents ($70 M/yr) and lifts patient start rate by estimated 12 % (≈ $400 M incremental revenue across portfolio).,"Patient Access Nurse, HUB Operations Director, Payer Relations Lead.","Salesforce Health-Cloud, Fax-Plus API, SharePoint policy libraries.","• Pulls denial letter, payer policy, and patient chart data (FHIR).  
• Generates appeal letter with targeted medical-necessity language, evidence citations, dosing history, and ICD-10 cross-walk.  
• Auto-submits via payer digital fax / portal; tracks status; re-drafts 2nd level appeals if needed.","Automates appeal letter generation and submission to reduce labor, improve clinical rationale consistency, and speed approvals.",Errors could trigger anti-kickback or false-claims scrutiny. Mitigations: legal/reg compliance rule repository; real-time audit trail; hard stop when off-label use detected.,Prior Authorization & Appeals,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Document Store, Structured Database","Text Only, Structured Data",Multi-System Integration,Human Monitoring,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Cyclic/Iterative,Hybrid (Structured + Unstructured),Complex State Machine,Graceful Degradation,Delayed/Indirect Feedback,Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"State Machine, Linear Flow Diagram"
abbvie,MEDICAL INFORMATION AUTORESPONDER (“MI-BOT 24/7”),"Global Medical Information fields ≈ 2.2 million HCP/patient enquiries per year through phone, email, and web forms. About 60 % are classified as “repeatable” (dosing, MOA, stability, AE profile). Tier-1 agents use answer database, escalate 40 % to scientific writers; SLA 24–48 h.","• High cost per interaction ($18 Tier-1, $95 Tier-2).  
• Slow responses frustrate physicians, can delay prescribing decisions.  
• Risk of off-label or promotional deviation if free-text answers not controlled.","Automating 85 % end-to-end lowers annual spend by ≈ $60 M, improves HCP satisfaction (internal target +15 NPS), and is projected to add 1–2 % prescription growth for launch brands.","Medical Information Specialist, Field Medical Director.","Veeva CRM Medical, IRMS database, static FAQ PDF library.","• Conversational interface (web, voice) authenticates requestor, classifies enquiry, retrieves exact-match answer from Core Data Sheet / local PI.  
• Generates localized response (26 languages) with cited references and revision history.  
• Escalates novel or off-label requests to Medical Affairs queue.","Automates response to repeatable enquiries to reduce cost, improve response speed, and control promotional compliance.","Unauthorized promotional claims. Mitigation: strict retrieval-only generation, policy lattice that blocks generation except from approved content; audit logging to pharmacovigilance.",Customer Service Automation,Agentic RAG,Zero-Shot,Conditional Branching,Document Store,"Text Only, Text + Audio",Read-Only APIs,Human Escalation,high,"Single Source, Structured",Read-Only (1-3 systems),Dynamic Prompt Assembly,Branching (2-5 paths),Hybrid (Structured + Unstructured),Session State (Short-term),Human Escalation Required,Human Evaluation Required (Simple),Professional Knowledge,Interactive (<5 seconds),Full Auditability,Decision Tree
abbvie,GLOBAL LABEL LOCALIZER & VARIANT GENERATOR (“LABEL-GPT”),"Labeling Operations manually edit Word/XML templates per EMA QRD, FDA PLR, Health Canada, NMPA, etc. Multi-lingual vendors translate, then internal reviewers align clinical and safety sections. End-to-end lead-time 10–14 weeks/update.","• Fragmented copy-paste between Core Company Data Sheet (CCDS) and local Product Information.  
• Translation inconsistencies trigger agency queries.  
• Annual spend on language vendors ≈ $40 M; resourcing bottlenecks delay launch of new indications.","90 % automation reduces vendor costs by $32 M, compresses cycle-time to < 3 weeks, enabling faster market availability (modelled +$150 M incremental annual revenue across new indications).","Global Labeling Lead, Country Regulatory Manager, Translation Vendor Manager.","PLIVA (XML), SDL Trados, Veeva RIM.","1. Detect CCDS changes (diff-engine).  
2. Auto-propagate text to local templates; enforce region-specific QRD/PLR rules.  
3. Generate high-fidelity machine translation tuned on prior AbbVie human-approved corpus (400 M sentence pairs).  
4. Produce print-ready artwork (AI-layout).  
5. Push to Veeva RIM with change-log.","Automates label update propagation, translation, and artwork to reduce cost, speed cycle time, and improve consistency.","Mis-translated safety statements could harm patients. Mitigations: (a) critical safety sections dual-human review until BLEU>95 maintained; (b) version chain & e-sign; (c) real-time terminology lock (INNs, dosages).",Document Generation & Translation,Sequential Pipeline,Direct/None,Sequential Chain,"Document Store, Structured Database","Text Only, Structured Data",Multi-System Integration,Human Monitoring,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Complex State Machine,Human Escalation Required,Human Evaluation Required (Complex),Specialist Knowledge,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Process + Data Model (Combined)"
abbvie,SCIENTIFIC LITERATURE EVIDENCE SURVEILLANCE & TRIAGE (“LIT-SENTRY”),"Pharmacovigilance, Medical Affairs, and HEOR collectively screen ≈ 2.5 million new abstracts/year (PubMed, Embase, medRxiv) plus 60 000 congress posters to detect safety signals, competitive intel, and evidence gaps. Current vendor screening achieves 50 % recall; AbbVie staff re-review ~200 000 abstracts manually.","• High vendor spend ($18 M/yr) and internal re-screening.  
• 30-day lag from publication to signal entry.  
• Duplicate efforts across PV, HEOR, and public-affairs groups.",LLM-based triage with 95 %+ recall/precision cuts human review by 85 % (saves $25 M/yr) and surfaces signals ~3 weeks earlier—valuable for risk-management decisions and publication strategy.,"Safety Scientist (Literature), Medical Affairs Analytics Lead, Competitive Intelligence Manager.","Embase RSS feeds, manual Excel tagging, DistillerSR pilot.","• Continuously harvests RSS/APIs from 28 bibliographic databases.  
• Classifies each article into: safety signal, efficacy, off-label, device, competitive, or irrelevant.  
• Extracts key entities (drug, AE, outcome) and writes to PV database and MI knowledge base.  
• Notifies owners via Jira tickets; auto-archives irrelevant items.","Automates literature triage to reduce manual review, speed signal detection, and reduce duplicate efforts.",Missed safety signal. Mitigation: target recall ≥ 98 % on historic gold sets; weekly adjudication sampling; fallback to vendor feed for redundant coverage first 6 months.,Regulatory Compliance Automation,Sequential Pipeline,Planning/Decomposition,Event-Driven,"Vector Embeddings, Structured Database","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Graph/Relational,Distributed State,Graceful Degradation,Multi-Dimensional Scoring,Specialist Knowledge,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Entity-Relationship Diagram"
adp,AUTONOMOUS PAYROLL SUPPORT & RESOLUTION AGENT,"• ADP’s service organization receives ~41 million contacts per year (voice, chat, e-mail).  
• 68 % are Tier-1/Tier-2, rule-bound queries (pay-stub retrieval, deduction clarifications, off-cycle reissue, address change, W-2 copy, etc.).  
• Average handle time (AHT) 9 min; cost ≈ $7.80/contact; overnight backlogs create 26 % call-abandonment in APAC windows.  
• Knowledge articles reside in 14 disconnected repositories; agents manually navigate mainframe screens (PS003, TAX900, …).","1. Cost and Capacity: >$300 M annual service spend; seasonal spikes require 3 000 temp hires.  
2. Quality Variance: 4 pt CSAT swing between senior and rookie agents.  
3. Policy Drift: Misinterpretations generate tax amendments costing $18 M yearly.","• Automating 80 % of Tier-1 & Tier-2 interactions yields $197 M direct cost savings (41 M × $7.80 × 0.80).  
• SLA response <60 seconds boosts client retention by projected 0.7 pp (= $49 M in defended revenue).  
• Unlocked agent capacity redeployed to high-margin advisory upsells (+$22 M).","Payroll Practitioner, Employee, ADP Service Operations Manager.","Genesys Cloud IVR, LivePerson chat, ADP Assist (agent copilot – augmentation only), 1990s mainframe green-screens, ServiceNow case log.","• Conversational LLM front-end (voice & chat) with secure biometric/OTP identity check.  
• Intent classifier → dynamic policy runbook.  
• Tool invocation layer to payroll APIs (e.g., POST /payroll/v3/offCycleIssue).  
• Automatic case notes & sentiment log into ServiceNow.  
• Escalation only on confidence <0.85 or financial impact >$2 000.","Transforms reactive, human-dependent support into self-service resolution that is policy-consistent, 24×7, and multi-lingual.","• Incorrect monetary actions – mitigation: all money-moving calls require dual API verification + real-time payroll calc simulation.  
• Privacy – runs inside ADP VPC; zero-retention inference; SOC 2 controls.  
• Regulatory (PCI-DSS for card refunds) – tokenize card details before LLM processing.",Technical Support & Troubleshooting,ReAct Agent,Chain-of-Thought (CoT),Conditional Branching,"Document Store, Policy Rules","Text Only, Text + Audio",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (2-5 paths),Nested Structured (2-3 levels),Session State (Short-term),Human Escalation Required,Proxy Metrics,Professional Knowledge,Interactive (<5 seconds),Full Auditability,"Decision Tree, Linear Flow Diagram"
adp,PERSONALIZED BENEFITS SELECTION & AUTO-ENROLLMENT ADVISOR,"• PEO and mid-market Employer Services support ~12 million OE (open-enrollment) choices each year; 26 M additional “life-event” selections year-round.  
• 34 % of employees default to sub-optimal plans; HRBPs spend 135 000 hours on one-to-one benefit guidance every Q4.  
• Plan Source-of-Truth lives in 3 500 Summary Plan Descriptions (SPDs) and 140 carrier file feeds.","1. Decision Complexity: 60+ medical plans, 20 dental, 15 voluntary benefits per client set.  
2. High Support Cost: $28 M HRBP time for repetitive Q&A.  
3. Low Voluntary Uptake: Only 18 % opt-in for add-ons (pet, legal, ID-theft) despite strong margins.","• Conversational advisor predicting “total cost of care” improves plan match; projected $320 annual saving/employee = tangible client ROI.  
• 6 pp increase in voluntary benefit uptake adds ≈ $60 M contribution margin.  
• Support hours drop 70 % freeing HRBP capacity for consulting upsells.","Worksite Employee, Dependent Spouse, HR Business Partner.","Nayya (widget decision-support), MyLife Advisor call center, Benefitfocus enrollment engine.","• Natural-language interview collects utilization patterns, risk tolerance.  
• LLM-driven micro-simulator computes expected out-of-pocket vs premium across plans.  
• Ranks options against preferences (cost minimizer, provider network, HSA growth).  
• Executes enrollment via Benefitfocus API and schedules deductions in payroll.  
• Generates personalised plan-explanation PDF in plain language for EE signature.","Moves from “choose from list” to “tell me about your life – we auto-enroll”. Eliminates friction, boosts engagement, & unlocks upsell.","• ERISA advice liability – embed disclaimers, require explicit confirmation, archive transcript.  
• HIPAA/PHI – questions restricted to utilization proxies; no diagnoses stored.  
• Model fairness – monitor for bias across age, gender; run disparate-impact tests quarterly.",HR & Benefits Administration,Planning Agent,Chain-of-Thought (CoT),Sequential Chain,"Document Store, Structured Database","Text Only, Structured Data",Write/Action APIs,Human Approval Gate,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Graceful Degradation,Multi-Dimensional Scoring,Professional Knowledge,Interactive (<5 seconds),Full Auditability,"Linear Flow Diagram, Decision Tree"
adp,TIMECARD & SCHEDULING ANOMALY RESOLUTION BOT,"• WorkForce Now & WorkForce Software produce ≈ 9 million exceptions *per month* (missed punches, early clock-ins, unauthorized overtime).  
• Front-line managers resolve via web UI; average 2.6 days; 40 % result in retro-payroll adjustments ($9 M yearly processing cost).  
• Employee/manager dialogue is via email/SMS outside system → audit gaps.","1. Delay: Unresolved exceptions risk FLSA wage penalties.  
2. Effort: Managers spend 8 min per anomaly → 14 million managerial hours/year.  
3. Data Integrity: 7 % of corrections typed incorrectly → negative paycheck, re-runs.","• Bot auto-resolves 60 % simple anomalies = 5.4 M/month, saving 8 million manager hours (= $62 M client productivity).  
• Reduces retro payroll cost 40 % ($3.6 M).  
• Compliance risk reduction quantifiable via fewer FLSA claims.","Hourly Employee, Shift Supervisor, Payroll Ops.","Exception Dashboard, email notifications, WorkForce mobile app.","• Real-time trigger on exception creation.  
• Conversational SMS/App prompt to employee: “I see you forgot to clock out yesterday at 17:01. Should we use scheduled 17:00?”  
• On confirmation → timecard auto-update; if dispute → gather context → escalate.  
• Policy engine handles rounding, grace periods, union rules.  
• Audit log written back; payroll pre-calc verifies gross variance < $2.","Turns multi-day email chains into 90-second chatbot interactions, ensuring policy-correct data before payroll calc.","• Time theft risk – dispute escalations and random 5 % audit sample.  
• Multi-language accuracy – support 14 languages; fallback to English.  
• User pushback – opt-out option.",Technical Support & Troubleshooting,Tool-Using Agent,Chain-of-Thought (CoT),Event-Driven,"Policy Rules, Structured Database","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,Streaming/Real-time,Write/Action (1-3 systems),Dynamic Prompt Assembly,Branching (2-5 paths),Simple Structured (flat JSON),Session State (Short-term),Human Escalation Required,Ground Truth Available (Exact Match),Professional Knowledge,Real-time (<1 second),Highly Regulated (HIPAA/SOX/etc.),Decision Tree
adp,AGENCY CORRESPONDENCE & GARNISHMENT AUTOMATION ENGINE,"• ADP receives ≈ 850 000 tax notices/year **plus** 4.2 million wage-garnishment & child-support orders and 180 000 UI audit letters.  
• Clerks scan, classify, reconcile, draft responses and update payroll tables.  
• Average cycle time: 7 days; penalties or incorrect deductions cost clients $22 M annually.","1. Volume and Variability: 6+ million paper/e-documents, 2 400 different form templates.  
2. Error: 9 % mis-classified; 4 % garnishment rate errors → legal exposure.  
3. Manual Data Entry: 1 400 FTE clerical workforce with 16 % attrition.","• 85 % full automation drives $96 M labor saving (1 400 FTE × $80 k × 0.85).  
• Penalty avoidance $18 M; client churn reduction ~0.4 pp.  
• Faster garnishment start/stop increases compliance rating with state agencies.","Agency Correspondence Clerk, Payroll Tax Manager, Court/State Agency Liaison.","Kofax OCR, Salesforce queues, manual payroll adjustments (GARN-MOD screen).","• Intelligent document router: OCR + LLM classification (form ID, agency, employee, due date).  
• Auto-reconciliation with ADP filing systems or employee master.  
• Generates response letter, e-files via agency API or prints postage-paid label.  
• For garnishments: parses order, calculates withholding per CCPA prioritization, writes deduction code into payroll, schedules end-date.  
• Event emitted to client HRIS for transparency.",Eliminates document triage bottleneck; applies statutory formulas consistently; creates single audit trail.,"• Withholding mis-calculation – deterministic formula unit tests; second-pass validation for net-pay floor.  
• OCR errors – confidence threshold triggers human review.  
• Data security (court orders contain SSN) – immediate redaction; encrypted transit.",HR & Benefits Administration,Sequential Pipeline,Planning/Decomposition,Sequential Chain,"Document Store, Structured Database, Policy Rules","Text + Images, Structured Data",Multi-System Integration,Human Monitoring,high,"Multimodal, Simple",Write/Action (4+ systems),Few Static Prompts (2-5),Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Mission Critical,Ground Truth Available (Similarity),Specialist Knowledge,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Entity-Relationship Diagram"
adp,GLOBAL REGTECH COMPLIANCE INTELLIGENCE ENGINE,"• Upstream: ~3 000 primary statutory changes/month.  
• Downstream: Every change spawns thousands of configuration permutations across 11 000 US taxing jurisdictions & 90 payroll calc tables → ≈ 9 million rule-objects updated/year.  
• Clients submit ≈ 210 million “What if this law applies?” knowledge queries to ADP portals annually (self-help + agent).  
• Current SLA: 6-10 business days from law release to live config -> payroll re-runs, penalty risk.","1. Latency cascade: One day delay touches millions of checks.  
2. Manual policy translation: 450 legal SMEs re-write in proprietary DSL.  
3. Knowledge silo: Clients can’t self-explain new rules, driving call volume.","• Reducing rule-publishing lag from 7 days to same-day removes $35 M penalty reserve and ~21 M agent contacts (deflection value $163 M).  
• Legal SME productivity +40 % ($24 M savings).  
• Strategic differentiator vs Workday/UKG; marketing ROI via “fastest law-to-payroll SLA” promise.","ADP Legal Analyst, Payroll Engine Product Manager, External Client Payroll Admin.","LexisNexis feeds, SharePoint rule library, Jira, bespoke DSL editors.","1. **Reg-Ingestor**: Continuous scraping/stream-subscribe to government portals, parsing meta-data.  
2. **LLM Interpreter**: Converts sections into canonical “Payroll Obligation Ontology” → machine-readable rule diff.  
3. **Auto-Compiler**: Generates DSL payload + unit tests; low-impact rules (<$50 gross effect) auto-deploy after synthetic test-suite pass.  
4. **Client-Facing Q&A Layer**: Same knowledge graph powers RAG chatbot answering “How does AB-1228 impact overtime?” across 210 M yearly searches.  
5. **Audit Vault**: Cryptographic hash of source law stored for regulator audit.","Transforms linear legal workflow into parallel, machine-first pipeline; creates client-visible product (compliance bot) that deflects queries.","• Mis-interpretation causing under-withholding – high-impact rule flagged for dual SME sign-off; change diff visualizer highlights deviations.  
• Source spoofing – digital-signature validation of government domain.  
• Model drift – monthly back-test vs gold-standard rule corpora.",Regulatory Compliance Automation,Workflow Orchestration,Planning/Decomposition,Parallel,"Hybrid Vector+Graph, Policy Rules","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,DAG (Directed Acyclic Graph),Graph/Relational,Distributed State,Mission Critical,Multi-Dimensional Scoring,Specialist Knowledge,Burst Handling Required,Full Auditability,"DAG (Directed Acyclic Graph), Entity-Relationship Diagram"
